id,name,bank_full,flood_stage,location,latitude,longitude,station_id,cbtt_id,geos_id,nws_id,nwsli_id,snotel_id,usgs_id,rating_id,elevation,drainage_area,huc,allow_negative_flow,river,display_name,sort_name,state
40,14048000,,,Mcdonald Ferry,45.5876278253207,-120.409491902857,14048000,,,,,,14048000,,392.27,7580.0,170702041401,0,John Day,John Day at Mcdonald Ferry,john day|9|009608|007580,OR
41,NF_John_Day_John_Day_merge,,,Monument,44.81491666666666,-119.432,14046000,MONO,,,MONO3,,14046000,17,1959.64,2520.0,170702021003,0,North Fork John Day,North Fork John Day at Monument,john day|0north|008040|002520,OR
42,14044000,,,Ritter,44.8887638815651,-119.141368600338,14044000,,,,,,14044000,,2544.56,515.0,170702030503,0,Middle Fork John Day,Middle Fork John Day at Ritter,john day|0middle|007455|000515,OR
43,John_Day_Service_Creek_merge,,,Service Creek,44.794013888888884,-120.00701944444444,14046500,SERO,,,SERO3,,14046500,18,1632.0,5090.0,170702040201,0,John Day,John Day at Service Creek,john day|9|008368|005090,OR
44,Johnson_Yellopine_merge,,,Yellow Pine,44.9616666666667,-115.5,13313000,JOHI,,,JOHI1,,13313000,,4655.75,218.0,170602080108,0,Johnson Creek,Johnson Creek at Yellow Pine,johnson creek|9|005344|000218,ID
45,Klamath_Iron_Gate_Merge,,,Iron Gate Dam,41.9278802565859,-122.44416532455263,11516530,IRGC,,,IRGC1,,11516530,,2165.56,4630.0,180102060702,0,Klamath,Klamath at Iron Gate Dam,klamath|9|007834|004630,CA
46,11509500,,,Keno,42.1331994617917,-121.962231260697,11509500,,,,,,11509500,,3961.0,3920.0,180102060201,0,Klamath,Klamath at Keno,klamath|9|006039|003920,OR
47,11510700,,,"John C.boyle Pwrplnt, nr Keno",42.0845877081179,-122.073345266467,11510700,,,,,,11510700,,3274.82,4080.0,180102060202,0,Klamath,"Klamath at John C.boyle Pwrplnt, nr Keno",klamath|9|006725|004080,OR
48,11520500,,,Seiad Valley,41.8537379018284,-123.232273315503,11520500,,,,,,11520500,,1313.78,6940.0,180102061103,0,Klamath,Klamath at Seiad Valley,klamath|9|008686|006940,CA
49,11530500,,,Klamath,41.51092574666132,-123.97947724304913,11530500,,,,,,11530500,,5.41,12100.0,180102091103,0,Klamath,Klamath at Klamath,klamath|9|009995|012100,CA
50,Klamath_Orleans_merge,,,Orleans,41.303432775683255,-123.53446176225154,11523000,,,,,,11523000,,357.43,8475.0,180102090802,0,Klamath,Klamath at Orleans,klamath|9|009643|008475,CA
51,14113000,,,Pitt,45.7565109836813,-121.210071421399,14113000,PITW,,,PITW1,,14113000,,288.9,1297.0,170701060409,0,Klickitat,Klickitat at Pitt,klickitat|9|009711|001297,WA
52,14107000,,,Glenwood,46.26480647771209,-121.24504736675327,14107000,KLCW,,,KLCW1,,14107000,,2720.0,151.0,170701060104,0,Klickitat,Klickitat at Glenwood,klickitat|9|007280|000151,WA
53,EF_Lewis_Washington_merge,,,Heisson,45.8367809336488,-122.466208340014,14222500,HSSW,,,HSSW1,,14222500,,366.0,125.0,170800020506,0,East Fork Lewis,East Fork Lewis at Heisson,lewis|0east|009634|000125,WA
54,11507500,,,Klamath Falls,42.2234779450143,-121.794170774708,11507500,,,,,,11507500,,4083.71,3810.0,180102041201,0,Link,Link at Klamath Falls,link|9|005916|003810,OR
55,14318000,,,Peel,43.252617900574,-123.026171618624,14318000,,,,,,14318000,,828.33,177.0,171003011008,0,Little,Little at Peel,little|9|009172|000177,OR
56,Lochsa_Lowell_merge,,,Lowell,46.1508333333333,-115.587222222222,13337000,LOCI,,,LOCI1,,13337000,,1462.5,1178.0,170603030708,0,Lochsa,Lochsa at Lowell,lochsa|9|008538|001178,ID
57,Long_Tom_Monroe_merge,,,Monroe,44.31283333333333,-123.29636111111111,14170000,UMNRO,,,MNRO3,,14170000,19,273.66,391.0,170900030110,0,Long Tom,Long Tom at Monroe,long tom|9|009726|000391,OR
58,Lookout_Blue_merge,,,Blue River,44.2095708053921,-122.256733007411,14161500,LOCO,,,LOCO3,,14161500,,1377.76,24.1,170900040401,0,Lookout Creek,Lookout Creek at Blue River,lookout creek|9|008622|000024,OR
59,Luckiamute_Suver_merge,,,Suver,44.783175269726,-123.234543494007,14190500,SUVO,,,SUVO3,,14190500,20,171.92,240.0,170900030512,0,Luckiamute,Luckiamute at Suver,luckiamute|9|009828|000240,OR
60,Marys_Philomath_merge,,,Philomath,44.525,-123.334,14171000,PHIO,,,PHIO3,,14171000,21,224.01,159.0,170900030205,0,Marys,Marys at Philomath,marys|9|009776|000159,OR
61,MCKENZIE_VIDA_merge,,,Vida,44.1248487356704,-122.470620008956,14162500,VIDOX,,,VIDO3,,14162500,22,856.0,930.0,170900040702,0,McKenzie,McKenzie at Vida,mckenzie|9|009144|000930,OR
62,14164900,,,"Hayden Br, at Springfield",44.0712365207472,-122.964527254659,14164900,,,,,,14164900,,400.0,1140.0,170900040706,0,Mckenzie,"Mckenzie at Hayden Br, at Springfield",mckenzie|9|009600|001140,OR
63,McKenzie_Walterville_merge,,,Walterville,44.0698492269484,-122.771187401123,14163900,,,,MCZO3,,14163900,,600.0,1081.0,170900040706,0,McKenzie,McKenzie at Walterville,mckenzie|9|009400|001081,OR
64,SF_McKenzie_Cougar_merge,,,Cougar Dam,44.0470670436432,-122.217824536089,14159200,SFCO,,,SFCO3,,14159200,23,1709.51,160.0,170900040307,0,South Fork McKenzie,South Fork McKenzie at Cougar Dam,mckenzie|0south|008290|000160,OR
65,Clear_Lake_outlet,,,Trail Bridge Dam,44.3609545058304,-121.995617217441,14158500,TRBO,,,TRBO3,,14158500,24,3015.32,92.4,170900040202,0,McKenzie,McKenzie at Trail Bridge Dam,mckenzie|9|006985|000092,OR
66,McKenzie_Leeburg_merge,,,Leaburg Dam,44.1237380356862,-122.627571535187,14163150,MZLO,,,MKLO3,,14163150,,710.0,1030.0,170900040703,0,McKenzie,McKenzie at Leaburg Dam,mckenzie|9|009290|001030,OR
67,14091500,,,Grandview,44.6262275,-121.4839433,14091500,,,,,,14091500,,1974.36,316.0,170703011003,0,Metolius,Metolius at Grandview,metolius|9|008026|000316,OR
68,MF_Willamette_below_NF_merge,,,Oakridge,43.8012351684092,-122.56088788998,14148000,OAKO,,,OAKO3,,14148000,25,935.0,924.0,170900010701,0,Middle Fork Willamette,Middle Fork Willamette at Oakridge,willamette|0middle|009065|000924,OR
69,MF_Willamette_Jasper_merge,,,Jasper,43.9981816559059,-122.905912564085,14152000,UJASO,,,JASO3,,14152000,,513.45,1340.0,170900011003,0,Middle Fork Willamette,Middle Fork Willamette at Jasper,willamette|0middle|009487|001340,OR
70,13331500,,,Minam,45.6198669449839,-117.726589171683,13331500,,,,,,13331500,,2540.48,240.0,170601050507,0,Minam,Minam at Minam,minam|9|007460|000240,OR
71,Mohawk_Springfield_merge,,,Springfield,44.0929031662724,-122.957305170928,14165000,SPRO,,,SPRO3,,14165000,,442.0,177.0,170900040605,0,Mohawk,Mohawk at Springfield,mohawk|9|009558|000177,OR
72,Mollala_Canby_merge,,,Canby,45.24391666666667,-122.68744444444445,14200000,CANO,,,CANO3,,14200000,,94.0,323.0,170900090607,0,Molalla,Molalla at Canby,molalla|9|009906|000323,OR
73,Nehalem_Vernonia_merged,,,Vernonia,45.8070558557861,-123.283172182797,14299800,NRVO,,,VENO3,,14299800,26,640.0,69.78,171002020109,0,Nehalem,Nehalem at Vernonia,nehalem|9|009360|000070,OR
74,FOSS_merge,,,Foss,45.7039986256055,-123.75540502767,14301000,FSSO,,,FSSO3,,14301000,26,32.6,667.0,171002020602,0,Nehalem,Nehalem at Foss,nehalem|9|009967|000667,OR
75,Nestucca_Beaver_merge,,,Beaver,45.266494460755,-123.847060972396,14303600,BEAO,,,BEAO3,,14303600,27,43.0,180.0,171002030209,0,Nestucca,Nestucca at Beaver,nestucca|9|009957|000180,OR
76,NF_ALSEA_calc,,,At Alsea (estimated),44.37901,-123.595661,,,,,,,,,272.31,63.0,171002050105,0,North Fork Alsea,NF Alsea at Alsea (calc),alsea|0north|009646|999999,OR
77,Clearwater_Canyon_merge,,,Canyon Ranger Station,46.8405555555556,-115.621111111111,13340600,CRSI,,,,,13340600,,1706.15,1296.0,170603071002,0,North Fork Clearwater,North Fork Clearwater at Canyon Ranger Station,clearwater|0north|008294|001296,ID
78,14147500,,,Oakridge,43.7567902423058,-122.505329201326,14147500,NWFO,,,NWFO,,14147500,,1029.6,246.0,170900010608,0,North Fork Middle Fork Willamette,North Fork Middle Fork Willamette at Oakridge,willamette|0north|008970|000246,OR
79,Owyhee_Rome_merge,,,Rome,42.86638888888889,-117.64916666666667,13181000,ROMO,,,ROMO3,,13181000,28,3361.0,8000.0,170501070705,0,Owyhee,Owyhee at Rome,owyhee|9|006639|008000,OR
80,Payette_Lowman_merge,,,Lowman,44.0852777777778,-115.622222222222,13235000,PRLI,,,,,13235000,,3770.0,446.0,170501200306,0,South Fork Payette,South Fork Payette at Lowman,payette|0south|006230|000446,ID
81,13237920,,,Crouch,44.1086111111111,-115.982222222222,13237920,,,,,,13237920,,3001.68,337.0,170501210403,0,Middle Fork Payette,Middle Fork Payette at Crouch,payette|0middle|006998|000337,ID
82,Payette_Horseshoe_merge,,,Horseshoe Bend,43.943333,-116.196667,13247500,HRSI,,,,,13247500,,2628.69,2220.0,170501220107,0,Payette,Payette at Horseshoe Bend,payette|9|007371|002220,ID
83,Payette_Cascade_merge,,,Cascade,44.5248931741067,-116.046798314511,13245000,CSCI,,,,,13245000,,3084.61,616.0,170501230503,0,North Fork Payette,North Fork Payette at Cascade,payette|0north|006915|000616,ID
84,Quartzville_merge,,,Cascadia,44.5401235699613,-122.43591547938,14185900,QCCO,,,QCCO3,,14185900,29,1050.0,99.2,170900060305,0,Quartzville Creek,Quartzville Creek at Cascadia,quartzville creek|9|008950|000099,OR
85,Rogue_Grants_Pass_merge,,,Grants Pass,42.4303960655558,-123.317836466831,14361500,GRAOX,,,GRAO3,,14361500,30,884.28,2459.0,171003080402,0,Rogue,Rogue at Grants Pass,rogue|9|009116|002459,OR
86,Rogue_McLeod_merge,,,Mcleod,42.6554035422131,-122.715040824291,14337600,MCLO,,,MCLO3,,14337600,31,1489.08,938.0,171003070701,0,Rogue,Rogue at Mcleod,rogue|9|008511|000938,OR
87,NF_ROGUE_LOST_CREEK_calc,,,River Bridge,42.71741,-122.532328,,,,,,,,,1881.3,,171003070113,0,Rogue,Rogue at River Bridge,rogue|9|008119|999999,OR
88,14328000,,,Prospect,42.77484917,-122.4997585,14328000,,,,,,14328000,,2620.0,312.0,171003070113,0,Rogue,Rogue at Prospect,rogue|9|007380|000312,OR
89,MF_ROGUE_LOST_CREEK_calc,,,Lost Creek Resv.,42.720425,-122.473029,,,,,,,,,2147.7,,171003070205,0,Rogue,Rogue at Lost Creek Resv.,rogue|9|007852|999999,OR
90,Rogue_Agness_merge,,,Agness,42.59277777777778,-124.062,14372300,AGNOX,,,AGNO3,,14372300,32,119.0,3939.0,171003100602,0,Rogue,Rogue at Agness,rogue|9|009881|003939,OR
91,Rogue_Ray_Gold_merge,,,Gold Ray Dam,42.4373459696809,-122.987267808388,14359000,RYGOX,,,RYGO3,,14359000,33,1121.78,2053.0,171003080202,0,Rogue,Rogue at Gold Ray Dam,rogue|9|008878|002053,OR
92,14155500,,,Cottage Grove,43.7929012392659,-122.991465543832,14155500,DORO,,,,,14155500,,685.24,270.0,170900020205,0,Row,Row at Cottage Grove,row|9|009315|000270,OR
93,14154500,,,"Pitcher Creek, near Dorena",43.73527777777778,-122.87444444444444,14154500,DRRO,,,,,14154500,,856.16,211.0,170900020204,0,Row,"Row at Pitcher Creek, near Dorena",row|9|009144|000211,OR
94,SALMON_WILLAMETTE_calc,,,Near Oakridge (estimated),43.762346,-122.372823,,,,,,,,,1462.36,117.0,170900010403,0,Salmon Creek,Salmon Cr near Oakridge (calc),salmon creek|9|008538|000117,OR
95,Salmon_Whitebird_merge,,,White Bird,45.7502777777778,-116.323888888889,13317000,WHBI,,,WHBI1,,13317000,,1416.01,13421.0,170602090504,0,Salmon,Salmon at White Bird,salmon|9|008584|013421,ID
96,SF_Salmon_Krassel_merge,,,Krassel Ranger Station,44.9869444,-115.725,13310700,KRSI,,,KRSI1,,13310700,,3750.0,330.0,170602080412,0,South Fork Salmon,South Fork Salmon at Krassel Ranger Station,salmon|0south|006250|000330,ID
97,MF_Salmon_merge,,,Middle Fork Lodge,44.7215194444444,-115.014347222222,13309220,MIDI,,105897,MIDI1,,13309220,,4384.4,1042.0,170602050903,0,Middle Fork Salmon,Middle Fork Salmon at Middle Fork Lodge,salmon|0middle|005616|001042,ID
98,Little_Salmon_Riggins_merge,,,Riggins,45.4130555555556,-116.325277777778,13316500,RIGI,,107706,RIGI1,,13316500,,1755.28,576.0,170602100505,0,Little Salmon,Little Salmon at Riggins,little salmon|9|008245|000576,ID
99,13296500,,,Yankee Fork,44.2683333333333,-114.732777777778,13296500,SRYI,,,SRYI1,,13296500,,5900.0,807.0,170602010603,0,Salmon,Salmon at Yankee Fork,salmon|9|004100|000807,ID
100,14141500,,,Bull Run,45.4153977748054,-122.171474604824,14141500,LSBO,,,,,14141500,,720.0,23.1,170800010505,0,Little Sandy,Little Sandy at Bull Run,little sandy|9|009280|000023,OR
101,Sandy_Bull_Run_merge,,,Bull Run,45.4490094356452,-122.245088516653,14142500,SNDO,,,SNDO3,,14142500,34,240.0,436.0,170800010702,0,Sandy,Sandy at Bull Run,sandy|9|009760|000436,OR
102,S_Santiam_Cascadia_merge,,,Cascadia,44.3917922451391,-122.497581665718,14185000,SSCO,,,SSCO3,,14185000,35,775.0,174.0,170900060401,0,South Santiam,South Santiam at Cascadia,santiam|0south|009225|000174,OR
103,14178000,,,Boulder Creek,44.7067885412009,-122.101185936698,14178000,BCKO,,,BCKO3,,14178000,36,1590.0,216.0,170900050208,0,North Santiam,North Santiam at Boulder Creek,santiam|0north|008410|000216,OR
