reach_id,guidebook_id,page,run,url
3934,7,310,71,
3934,9,62,,
3943,2,290,,
3943,7,310,71,
3944,2,159,114,
3944,3,199,120,
3944,4,204,118,
3944,7,300,68,
3944,9,76,,
3990,5,28,,
4008,2,47,17,
4008,3,57,18,
4008,9,24,,
4012,5,24,,
4038,2,290,220,
4039,3,170,98,
4083,3,55,16,
4114,2,52,21,
4114,3,62,21,
4114,4,58,20,
4114,7,322,74,
4114,11,,,https://www.dreamflows.com/xlist-or.php#Site311
4339,3,,,
4505,2,141,99,
4630,7,360,81.2,
4679,11,,,https://www.dreamflows.com/xlist-or.php#Site533
4688,2,79,"44,45",
4688,3,100,46,
4688,4,102,49,
4688,7,361,82,
4688,9,29,,
4688,11,,,https://www.dreamflows.com/xlist-or.php#Site306
4689,2,80,46,
4689,3,101,47,
4689,4,104,50,
4689,7,361,82,
4689,9,30,,
4689,11,,,https://www.dreamflows.com/xlist-or.php#Site306
4690,2,"81,84","47,48",
4690,3,"103,105","48,49",
4690,4,"106,108","52,53",
4690,7,361,82,
4690,11,,,https://www.dreamflows.com/xlist-or.php#Site306
4691,2,"85,86","49,50",
4691,3,108,52,
4691,4,110,55,
4691,11,,,https://www.dreamflows.com/xlist-or.php#Site234
4700,2,76,40,
4700,4,99,46,
4700,7,368,83,
4815,3,340,214,
4912,3,247,154,
4940,3,290,184,
4953,3,264,167,
4981,2,136,94,
4981,3,175,101,
4981,10,,,https://www.oregonkayaking.net/creeks/wiley/wiley.html
4981,11,,,https://www.dreamflows.com/xlist-or.php#Site317
4986,2,114,73,
4986,3,147,80,
4986,4,156,84,
4986,9,46,,
4987,4,142,73,
4988,7,392,87.2,
4988,9,48,,
4991,7,392,87.3,
4991,9,50,,
4994,2,105,64,
4994,4,141,72,
4995,2,115,74,
4995,4,156,84,
4995,7,391,87.1,
4995,9,47,,
4996,7,393,87.4,
4996,9,50,,
4997,7,393,87.5,
5014,11,,,https://www.dreamflows.com/xlist-or.php#Site769
5041,3,45,8,
5046,3,143,77,
5046,10,,,https://www.oregonkayaking.net/creeks/winberry/winberry.html
5051,3,270,171,
5051,10,,,https://www.oregonkayaking.net/rivers/uwind/uwind.html
5169,11,,,https://www.dreamflows.com/xlist-or.php#Site519
5171,11,,,https://www.dreamflows.com/xlist-or.php#Site519
5312,2,269,197,
5312,3,348,218,
5312,4,357,209,
5312,11,,,https://www.dreamflows.com/xlist-or.php#Site650
5325,3,345,217,
5325,11,,,https://www.dreamflows.com/xlist-or.php#Site251
5327,3,345,217,
5327,11,,,https://www.dreamflows.com/xlist-or.php#Site251
5448,11,,,https://www.dreamflows.com/xlist-or.php#Site230
5449,3,111,54,
5449,4,114,57,
5449,7,268,61,
5449,10,,,https://www.oregonkayaking.net/rivers/takilma/takilma.html
5449,11,,,https://www.dreamflows.com/xlist-or.php#Site312
5450,2,190,139,
5450,3,241,149,
5450,4,248,148,
5450,7,281,65,
5450,9,89,,
5450,11,,,https://www.dreamflows.com/xlist-or.php#Site246
5451,2,93,57,
5451,3,120,61,
5451,4,125,64,
5451,7,258,60,
5451,9,32,,
5451,11,,,https://www.dreamflows.com/xlist-or.php#Site145
5452,3,324,204,
5452,11,,,https://www.dreamflows.com/xlist-or.php#Site248
5453,2,252,186,
5453,3,322,203,
5453,4,329,193,
5453,7,161,36.2,
5453,9,106,,
5453,11,,,https://www.dreamflows.com/xlist-or.php#Site248
5454,2,240,181,
5454,3,308,197,
5454,4,311,185,
5454,7,93,20,
5454,9,99,,
5454,11,,,https://www.dreamflows.com/xlist-or.php#Site142
5455,2,"188,190","137,138",
5455,3,"239,240","147,148",
5455,4,"246,247","146,147",
5455,7,281,65,
5455,10,,,https://www.oregonkayaking.net/rivers/sandygorge/sandygorge.html
5455,11,,,https://www.dreamflows.com/xlist-or.php#Site246
5456,2,152,107,
5456,3,189,112,
5456,4,192,110,
5456,7,18,2,
5456,9,69,,
5456,10,,,https://www.oregonkayaking.net/rivers/breitenbush/breitenbush.html
5456,11,,,https://www.dreamflows.com/xlist-or.php#Site237
5457,2,184,134,
5458,2,176,129,
5458,3,226,139,
5458,4,233,138,
5458,7,51,10.2,
5458,9,85,,
5458,10,,,https://www.oregonkayaking.net/rivers/clack/clack.html
5461,2,151,106,
5461,3,188,111,
5461,4,191,109,
5461,7,296,68,
5461,9,68,,
5461,10,,,https://www.oregonkayaking.net/rivers/middlesantiam/middle.html
5461,11,,,https://www.dreamflows.com/xlist-or.php#Site676
5462,3,369,,
5463,10,,,https://www.oregonkayaking.net/creeks/elk_lake/elk_lake.html
5463,11,,245,
5465,10,,,https://www.oregonkayaking.net/rivers/oakgrove/oakgrove.html
5465,11,,,https://www.dreamflows.com/xlist-or.php#Site268
5466,2,176,128,
5466,4,232,137,
5466,7,51,10.1,
5466,9,84,,
5466,10,,,https://www.oregonkayaking.net/floodstage/clack_high.html
5468,2,217,198,
5468,3,359,219,
