id,url,parser,hours,is_active
69,https://api.water.noaa.gov/nwps/v1/gauges/WFHO3/stageflow/observed,nwps,,1
70,"https://www.nwd-wc.usace.army.mil/dd/common/web_service/webexec/getjson?query=%5B%22GPR.Flow-Out.Inst.0.0.Best%22,%22GPR.Flow-In.Ave.15Minutes.6Hours.Best%22%5D&timezone=GMT&backward=2d&forward=0d",usace.cda,,1
71,https://apps.ecology.wa.gov/ContinuousFlowAndWQ/StationData/Prod/29C100/29C100_STG_FM.TXT,wa.gov,,1
72,https://apps.ecology.wa.gov/ContinuousFlowAndWQ/StationData/Prod/29C100/29C100_DSG_FM.TXT,wa.gov,,1
73,https://apps.ecology.wa.gov/ContinuousFlowAndWQ/StationData/Prod/29C100/29C100_WTM_FM.TXT,wa.gov,,1
79,"https://www.nwd-wc.usace.army.mil/dd/common/web_service/webexec/getjson?query=%5B%22FAL.Flow-Out.Inst.0.0.Best%22,%22FAL.Flow-In.Ave.15Minutes.6Hours.Best%22%5D&timezone=GMT&backward=2d&forward=0d",usace.cda,,1
80,https://www.nwrfc.noaa.gov/station/flowplot/textPlot.cgi?id=APLO3&pe=QI,nwrfc.textplot,,1
81,https://api.water.noaa.gov/nwps/v1/gauges/BRBO3/stageflow/observed,nwps,,1
82,https://api.water.noaa.gov/nwps/v1/gauges/NMFO3/stageflow/observed,nwps,,1
83,https://www.nwrfc.noaa.gov/xml/xml.cgi?id=CMRO3&pe=HG&dtype=b&numdays=1,nwrfc.xml,,1
84,https://www.nwrfc.noaa.gov/xml/xml.cgi?id=LOCO3&pe=HG&dtype=b&numdays=1,nwrfc.xml,,1
85,https://www.nwrfc.noaa.gov/xml/xml.cgi?id=WNFO3&pe=HG&dtype=b&numdays=1,nwrfc.xml,,1
86,"https://www.usbr.gov/pn-bin/v1/instant.pl?back=3&format=csv&list=BENO,CSCI,DEBO,HCDI,HRSI,ROMO,UMAO,WICO",usbr,,1
87,https://www.nwrfc.noaa.gov/station/flowplot/textPlot.cgi?id=FALO3&pe=QI,nwrfc.textplot,,1
99,https://api.water.noaa.gov/nwps/v1/gauges/LWWW1/stageflow/observed,nwps,,1
100,https://api.water.noaa.gov/nwps/v1/gauges/WCNW1/stageflow/observed,nwps,,1
101,https://apps.ecology.wa.gov/ContinuousFlowAndWQ/StationData/Prod/28B080/28B080_WTM_FM.TXT,wa.gov,,1
102,https://apps.ecology.wa.gov/ContinuousFlowAndWQ/StationData/Prod/28B080/28B080_STG_FM.TXT,wa.gov,,1
103,https://apps.ecology.wa.gov/ContinuousFlowAndWQ/StationData/Prod/28B080/28B080_DSG_FM.TXT,wa.gov,,1
104,https://api.water.noaa.gov/nwps/v1/gauges/CORO3/stageflow/observed,nwps,,1
105,https://api.water.noaa.gov/nwps/v1/gauges/SRYI1/stageflow/observed,nwps,,1
106,https://api.water.noaa.gov/nwps/v1/gauges/MIDI1/stageflow/observed,nwps,,1
107,https://api.water.noaa.gov/nwps/v1/gauges/KRSI1/stageflow/observed,nwps,,1
108,https://api.water.noaa.gov/nwps/v1/gauges/JOHI1/stageflow/observed,nwps,,1
109,https://api.water.noaa.gov/nwps/v1/gauges/RIGI1/stageflow/observed,nwps,,1
110,https://api.water.noaa.gov/nwps/v1/gauges/WHBI1/stageflow/observed,nwps,,1
111,https://api.water.noaa.gov/nwps/v1/gauges/SELI1/stageflow/observed,nwps,,1
112,https://api.water.noaa.gov/nwps/v1/gauges/LOCI1/stageflow/observed,nwps,,1
113,https://api.water.noaa.gov/nwps/v1/gauges/STII1/stageflow/observed,nwps,,1
114,https://api.water.noaa.gov/nwps/v1/gauges/PITW1/stageflow/observed,nwps,,1
115,https://api.water.noaa.gov/nwps/v1/gauges/KLCW1/stageflow/observed,nwps,,1
116,https://www.nwrfc.noaa.gov/station/flowplot/textPlot.cgi?id=EUGO3&pe=HG,nwrfc.textplot,,1
117,https://api.water.noaa.gov/nwps/v1/gauges/NEBO3/stageflow/observed,nwps,,1
118,https://api.water.noaa.gov/nwps/v1/gauges/ORCO3/stageflow/observed,nwps,,1
120,https://api.water.noaa.gov/nwps/v1/gauges/COCO3/stageflow/observed,nwps,,1
121,https://api.water.noaa.gov/nwps/v1/gauges/IRGC1/stageflow/observed,nwps,,1
122,https://api.water.noaa.gov/nwps/v1/gauges/RCBO3/stageflow/observed,nwps,,1
123,https://www.pacificorp.com/etc/pcorp/datafiles/hydro/RogueRiverBypass.xml,pacificorp,,1
124,https://www.nwrfc.noaa.gov/station/flowplot/textPlot.cgi?id=GPRO3&pe=QR,nwrfc.textplot,,1
125,https://api.water.noaa.gov/nwps/v1/gauges/CRPO3/stageflow/observed,nwps,,1
126,https://api.water.noaa.gov/nwps/v1/gauges/PRVO3/stageflow/observed,nwps,,1
127,https://www.nwrfc.noaa.gov/station/flowplot/textPlot.cgi?id=CRSO3&pe=HG,nwrfc.textplot,,1
128,https://api.water.noaa.gov/nwps/v1/gauges/OCHO3/stageflow/observed,nwps,,1
