id,reach_id,name,low,low_data_type,high,high_data_type
1046,5516,III-IV,200.0,flow,1500.0,flow
1047,5517,II(III),700.0,flow,3000.0,flow
1049,5519,III-IV+,500.0,flow,1500.0,flow
1050,5520,III-IV+(V+),1000.0,flow,2500.0,flow
1051,5521,V,2000.0,flow,5000.0,flow
1052,5522,II-III,1200.0,flow,12000.0,flow
1053,5523,IV-V,4000.0,flow,10000.0,flow
1054,5524,IV,600.0,flow,2500.0,flow
1055,5525,II-III,400.0,flow,2000.0,flow
1056,5526,IV-V,1000.0,flow,7000.0,flow
1057,5527,II-III,400.0,flow,1500.0,flow
1058,5528,II-IV+,5.0,flow,9.0,flow
1059,5529,II+(IV),800.0,flow,2000.0,flow
1061,5531,II-III(IV),400.0,flow,2000.0,flow
1062,5532,IV-V,1000.0,flow,4000.0,flow
1063,5533,III+(IV),7.0,flow,10.0,flow
1064,5534,V,200.0,flow,900.0,flow
1065,5535,IV+,2000.0,flow,5000.0,flow
1066,5536,III-IV+,2500.0,flow,6000.0,flow
1067,5537,IV(V),800.0,flow,2000.0,flow
1068,5538,IV-V,1000.0,flow,5000.0,flow
1069,5539,IV-V,1000.0,flow,2500.0,flow
1070,5540,III-IV+,250.0,flow,700.0,flow
1072,5542,IV-V,1500.0,flow,10000.0,flow
1073,5543,V,2500.0,flow,5000.0,flow
1074,5544,II-V,600.0,flow,6000.0,flow
1075,5545,II-IV+,600.0,flow,5000.0,flow
1076,5546,IV+,4000.0,flow,10000.0,flow
1077,5547,IV(V),,,,
1079,5549,III-IV(V),3000.0,flow,8000.0,flow
1080,5550,III-IV(V),500.0,flow,9000.0,flow
1081,5551,IV(V),400.0,flow,850.0,flow
1082,5552,IV(V+),200.0,flow,1500.0,flow
1083,5553,I-III(IV),600.0,flow,3000.0,flow
1084,5554,V,150.0,flow,400.0,flow
1085,5555,II-III,700.0,flow,3000.0,flow
1086,5556,IV(V),4000.0,flow,10000.0,flow
1087,5557,III-IV,600.0,flow,5000.0,flow
1088,5558,III-IV,600.0,flow,6000.0,flow
1089,5559,IV-V,,,,
1090,5560,III-IV,1000.0,flow,4500.0,flow
1093,5563,III-IV,100.0,flow,400.0,flow
1094,5564,III+(IV),2000.0,flow,8000.0,flow
1095,5565,II-III,1000.0,flow,12000.0,flow
1096,5566,IV+,1000.0,flow,2500.0,flow
1097,5567,IV-V,1000.0,flow,3000.0,flow
1098,5568,III-IV+,200.0,flow,500.0,flow
1099,5569,I-II(III),5.2,flow,7.0,flow
1100,5570,IV(V),4000.0,flow,10000.0,flow
1101,5571,III-IV,400.0,flow,7000.0,flow
1102,5572,IV(V),2000.0,flow,7000.0,flow
1103,5573,II-III,13.0,flow,23.0,flow
1104,5574,III-IV,1000.0,flow,2000.0,flow
1105,5575,II-III(IV),1400.0,flow,3300.0,flow
1106,5576,IV-V,1000.0,flow,6000.0,flow
1107,5577,IV+,800.0,flow,4000.0,flow
1109,5579,III+(IV),500.0,flow,2500.0,flow
1110,5580,II-III+(IV),800.0,flow,3000.0,flow
1111,5581,III-IV,2300.0,flow,5000.0,flow
1112,5582,III+(V),500.0,flow,2500.0,flow
1113,5583,I(II),4.0,flow,6.0,flow
1114,5584,III-IV,250.0,flow,1000.0,flow
1302,3048,I,400.0,flow,1500.0,flow
1303,4008,II-III,300.0,flow,1500.0,flow
1305,5772,II-III(V),700.0,flow,2000.0,flow
1306,430,II-III,290.0,flow,1500.0,flow
1307,5773,I-II,1000.0,flow,5000.0,flow
1308,4630,II,1000.0,flow,5000.0,flow
1309,5774,II(III),800.0,flow,2700.0,flow
1310,5512,III+-V,300.0,flow,1500.0,flow
1311,5775,I-II,1000.0,flow,3000.0,flow
1312,2114,II-III,400.0,flow,1200.0,flow
1313,4994,I+(II),1000.0,flow,2500.0,flow
1314,3067,III,,,,
1315,3067,IV,,,,
1316,2725,II,1200.0,flow,5000.0,flow
1317,4988,I,2000.0,flow,20000.0,flow
1318,4991,Flatwater,2000.0,flow,20000.0,flow
1319,4997,Flatwater,2000.0,flow,20000.0,flow
1320,4995,Flatwater,2000.0,flow,20000.0,flow
1321,4995,I-II,2000.0,flow,20000.0,flow
1322,4996,Flatwater,2000.0,flow,20000.0,flow
1323,2662,III(IV-),400.0,flow,3000.0,flow
1324,2662,IV(V),3000.0,flow,4000.0,flow
1327,5780,II-III,400.0,flow,1500.0,flow
1328,5781,II,300.0,flow,1000.0,flow
1329,4688,II-IV,800.0,flow,2000.0,flow
1331,5782,III(IV),600.0,flow,1000.0,flow
1332,5783,II,400.0,flow,2500.0,flow
1333,5784,I,600.0,flow,2000.0,flow
1334,5785,I,300.0,flow,1000.0,flow
1335,5786,I-II,,,,
1336,5787,III-IV(V+),500.0,flow,6000.0,flow
1337,5788,I,,,,
1339,5790,III-IV,6000.0,flow,10000.0,flow
1340,5791,II-III,,,,
1342,5793,IV,,,,
1343,5794,IV-V,2000.0,flow,4500.0,flow
