id,reach_id,level,low,low_data_type,high,high_data_type
485,3767,low,,flow,600.0,flow
486,3767,okay,600.0,flow,4000.0,flow
487,3767,high,4000.0,flow,,flow
491,3775,low,,gauge,1.5,gauge
492,3775,okay,1.5,gauge,4.2,gauge
493,3775,high,4.2,gauge,,gauge
494,3776,low,,gauge,2.0,gauge
495,3776,okay,2.0,gauge,6.0,gauge
496,3776,high,6.0,gauge,,gauge
497,3777,low,,flow,500.0,flow
498,3777,okay,500.0,flow,3000.0,flow
499,3777,high,3000.0,flow,,flow
515,3882,low,,flow,700.0,flow
516,3882,okay,700.0,flow,3000.0,flow
517,3882,high,3000.0,flow,,flow
560,3943,low,,flow,1000.0,flow
561,3943,okay,1000.0,flow,5000.0,flow
562,3943,high,5000.0,flow,,flow
572,4008,low,,flow,300.0,flow
573,4008,okay,300.0,flow,1500.0,flow
574,4008,high,1500.0,flow,,flow
587,4038,low,,flow,700.0,flow
588,4038,okay,700.0,flow,3000.0,flow
589,4038,high,3000.0,flow,,flow
590,4039,low,,flow,700.0,flow
591,4039,okay,700.0,flow,3000.0,flow
592,4039,high,3000.0,flow,,flow
608,4114,low,,flow,1000.0,flow
609,4114,okay,1000.0,flow,5000.0,flow
610,4114,high,5000.0,flow,,flow
638,4409,low,,flow,400.0,flow
639,4409,okay,400.0,flow,1000.0,flow
640,4409,high,1000.0,flow,,flow
668,4688,low,,flow,800.0,flow
669,4688,okay,800.0,flow,2000.0,flow
670,4688,high,2000.0,flow,,flow
671,4689,low,,flow,1500.0,flow
672,4689,okay,1500.0,flow,2000.0,flow
673,4689,high,2000.0,flow,,flow
674,4690,low,,flow,1500.0,flow
675,4690,okay,1500.0,flow,3000.0,flow
676,4690,high,3000.0,flow,,flow
677,4691,low,,flow,800.0,flow
678,4691,okay,800.0,flow,5000.0,flow
679,4691,high,5000.0,flow,,flow
695,4700,low,,flow,1500.0,flow
696,4700,okay,1500.0,flow,4000.0,flow
697,4700,high,4000.0,flow,,flow
716,4912,low,,flow,800.0,flow
717,4912,okay,800.0,flow,3000.0,flow
718,4912,high,3000.0,flow,,flow
731,4953,low,,flow,900.0,flow
732,4953,okay,900.0,flow,3000.0,flow
733,4953,high,3000.0,flow,,flow
746,4986,low,,flow,1000.0,flow
747,4986,okay,1000.0,flow,5000.0,flow
748,4986,high,5000.0,flow,,flow
749,4987,low,,flow,1000.0,flow
750,4987,okay,1000.0,flow,2500.0,flow
751,4987,high,2500.0,flow,,flow
758,4995,low,,flow,2000.0,flow
759,4995,okay,2000.0,flow,20000.0,flow
760,4995,high,20000.0,flow,,flow
776,5046,low,,flow,300.0,flow
777,5046,okay,300.0,flow,1000.0,flow
778,5046,high,1000.0,flow,,flow
782,5051,low,,flow,300.0,flow
783,5051,okay,300.0,flow,1600.0,flow
784,5051,high,1600.0,flow,,flow
791,5527,low,,flow,400.0,flow
792,5527,okay,400.0,flow,1500.0,flow
793,5527,high,1500.0,flow,,flow
794,5568,low,,flow,200.0,flow
795,5568,okay,200.0,flow,500.0,flow
796,5568,high,500.0,flow,,flow
797,109,low,,flow,300.0,flow
798,109,okay,300.0,flow,2500.0,flow
799,109,high,2500.0,flow,,flow
800,5507,low,,flow,400.0,flow
801,5507,okay,400.0,flow,1650.0,flow
802,5507,high,1650.0,flow,,flow
803,430,low,,,290.0,flow
804,430,okay,290.0,flow,1500.0,flow
805,430,high,1500.0,flow,,
806,5456,low,,flow,500.0,flow
807,5456,okay,500.0,flow,2000.0,flow
808,5456,high,2000.0,flow,,flow
809,5540,low,,flow,250.0,flow
810,5540,okay,250.0,flow,700.0,flow
811,5540,high,700.0,flow,,flow
815,5584,low,,flow,250.0,flow
816,5584,okay,250.0,flow,1000.0,flow
817,5584,high,1000.0,flow,,flow
818,5485,low,,flow,500.0,flow
819,5485,okay,500.0,flow,3500.0,flow
820,5485,high,3500.0,flow,,flow
824,5773,low,,flow,1000.0,flow
825,5773,okay,1000.0,flow,5000.0,flow
826,5773,high,5000.0,flow,,flow
827,4630,low,,flow,1000.0,flow
828,4630,okay,1000.0,flow,5000.0,flow
829,4630,high,5000.0,flow,,flow
830,5452,low,,flow,1200.0,flow
831,5452,okay,1200.0,flow,6000.0,flow
832,5452,high,6000.0,flow,,flow
833,5453,low,,flow,1200.0,flow
834,5453,okay,1200.0,flow,6000.0,flow
835,5453,high,6000.0,flow,,flow
836,5774,low,,flow,800.0,flow
837,5774,okay,800.0,flow,2700.0,flow
838,5774,high,2700.0,flow,,flow
839,5512,low,,flow,300.0,flow
840,5512,okay,300.0,flow,1500.0,flow
841,5512,high,1500.0,flow,,flow
842,2114,low,,flow,400.0,flow
843,2114,okay,400.0,flow,1200.0,flow
844,2114,high,1200.0,flow,,flow
845,2111,low,,flow,700.0,flow
846,2111,okay,700.0,flow,6000.0,flow
847,2111,high,6000.0,flow,,flow
848,5775,low,,flow,1000.0,flow
849,5775,okay,1000.0,flow,3000.0,flow
850,5775,high,3000.0,flow,,flow
851,4994,low,,flow,1000.0,flow
852,4994,okay,1000.0,flow,2500.0,flow
853,4994,high,2500.0,flow,,flow
854,3067,low,,flow,700.0,flow
855,3067,okay,700.0,flow,3000.0,flow
856,3067,high,3000.0,flow,,flow
857,2725,low,,flow,1200.0,flow
858,2725,okay,1200.0,flow,5000.0,flow
859,2725,high,5000.0,flow,,flow
860,5462,low,,flow,250.0,flow
861,5462,okay,250.0,flow,600.0,flow
862,5462,high,600.0,flow,,flow
863,5472,low,,flow,900.0,flow
864,5472,okay,900.0,flow,3000.0,flow
865,5472,high,3000.0,flow,,flow
866,5508,low,,flow,900.0,flow
867,5508,okay,900.0,flow,3000.0,flow
868,5508,high,3000.0,flow,,flow
869,5534,low,,flow,200.0,flow
870,5534,okay,200.0,flow,900.0,flow
871,5534,high,900.0,flow,,flow
875,5781,low,,flow,300.0,flow
876,5781,okay,300.0,flow,1000.0,flow
877,5781,high,1000.0,flow,,flow
878,4688,low,,flow,800.0,flow
879,4688,okay,800.0,flow,2000.0,flow
880,4688,high,2000.0,flow,,flow
881,5782,low,,flow,600.0,flow
882,5782,okay,600.0,flow,4000.0,flow
883,5782,high,4000.0,flow,,flow
885,3212,okay,750.0,flow,10000.0,flow
886,5468,okay,750.0,flow,10000.0,flow
887,5312,okay,1000.0,flow,5000.0,flow
888,5787,okay,500.0,flow,6000.0,flow
889,5463,okay,2000.0,flow,10000.0,flow
890,5469,low,,flow,750.0,flow
891,5469,okay,750.0,flow,3000.0,flow
892,5469,high,3000.0,flow,,flow
893,5458,low,,flow,700.0,flow
894,5458,okay,700.0,flow,6000.0,flow
895,5458,high,6000.0,flow,,flow
896,5796,low,,flow,400.0,flow
897,5796,okay,400.0,flow,1800.0,flow
898,5796,high,1800.0,flow,,flow
899,5798,low,,flow,700.0,flow
900,5798,okay,700.0,flow,2000.0,flow
901,5798,high,2000.0,flow,,flow
902,1220,low,,flow,500.0,flow
903,1220,okay,500.0,flow,1000.0,flow
904,1220,high,1000.0,flow,,flow
905,5795,low,,flow,3000.0,flow
906,5795,okay,3000.0,flow,8000.0,flow
907,5795,high,8000.0,flow,,flow
908,5565,low,,flow,1000.0,flow
909,5565,okay,1000.0,flow,12000.0,flow
910,5565,high,12000.0,flow,,flow
911,5522,low,,flow,1200.0,flow
912,5522,okay,1200.0,flow,12000.0,flow
913,5522,high,12000.0,flow,,flow
914,5481,low,,gauge,6.0,gauge
915,5481,okay,6.0,gauge,17.0,gauge
916,5481,high,17.0,gauge,,gauge
917,5780,low,,,400.0,flow
918,5780,okay,400.0,flow,1500.0,flow
919,5780,high,1500.0,flow,,
920,5449,low,,,300.0,flow
921,5449,okay,300.0,flow,1500.0,flow
922,5449,high,1500.0,flow,,
923,5554,low,,,150.0,flow
924,5554,okay,150.0,flow,400.0,flow
925,5554,high,400.0,flow,,
926,3657,low,,flow,800.0,flow
927,3657,okay,800.0,flow,3000.0,flow
928,3657,high,3000.0,flow,,flow
929,3650,low,,,1000.0,flow
930,3650,okay,1000.0,flow,3000.0,flow
931,3650,high,3000.0,flow,,
932,5495,low,,,1000.0,flow
933,5495,okay,1000.0,flow,3000.0,flow
934,5495,high,3000.0,flow,,
935,5470,low,,,1000.0,flow
936,5470,okay,1000.0,flow,3000.0,flow
937,5470,high,3000.0,flow,,
938,5810,low,,,1000.0,flow
939,5810,okay,1000.0,flow,5000.0,flow
940,5810,high,5000.0,flow,,
941,5163,low,,,800.0,flow
942,5163,okay,800.0,flow,2500.0,flow
943,5163,high,2500.0,flow,,
944,5165,low,,,1000.0,flow
945,5165,okay,1000.0,flow,6000.0,flow
946,5165,high,6000.0,flow,,
947,5169,low,,,700.0,flow
948,5169,okay,700.0,flow,3500.0,flow
949,5169,high,3500.0,flow,,
950,5171,low,,,600.0,flow
951,5171,okay,600.0,flow,6000.0,flow
952,5171,high,6000.0,flow,,
953,5172,low,,,800.0,flow
954,5172,okay,800.0,flow,6000.0,flow
955,5172,high,6000.0,flow,,
956,5173,low,,,700.0,flow
957,5173,okay,700.0,flow,4000.0,flow
958,5173,high,4000.0,flow,,
959,5174,low,,,700.0,flow
960,5174,okay,700.0,flow,8000.0,flow
961,5174,high,8000.0,flow,,
962,5175,low,,,1000.0,flow
963,5175,okay,1000.0,flow,25000.0,flow
964,5175,high,25000.0,flow,,
965,5176,low,,,700.0,flow
966,5176,okay,700.0,flow,8000.0,flow
967,5176,high,8000.0,flow,,
968,5189,low,,,3000.0,flow
969,5189,okay,3000.0,flow,35000.0,flow
970,5189,high,35000.0,flow,,
971,5193,low,,,5000.0,flow
972,5193,okay,5000.0,flow,15000.0,flow
973,5193,high,15000.0,flow,,
974,5194,low,,,950.0,flow
975,5194,okay,950.0,flow,25000.0,flow
976,5194,high,25000.0,flow,,
977,5196,low,,,3000.0,flow
978,5196,okay,3000.0,flow,14000.0,flow
979,5196,high,14000.0,flow,,
980,5298,low,,,2000.0,flow
981,5298,okay,2000.0,flow,23000.0,flow
982,5298,high,23000.0,flow,,
983,5300,low,,,700.0,flow
984,5300,okay,700.0,flow,2500.0,flow
985,5300,high,2500.0,flow,,
986,5302,low,,,700.0,flow
987,5302,okay,700.0,flow,10000.0,flow
988,5302,high,10000.0,flow,,
989,5305,low,,,600.0,flow
990,5305,okay,600.0,flow,3000.0,flow
991,5305,high,3000.0,flow,,
998,5308,low,,,3000.0,flow
999,5308,okay,3000.0,flow,30000.0,flow
1000,5308,high,30000.0,flow,,
1004,5313,low,,,800.0,flow
1005,5313,okay,800.0,flow,12000.0,flow
1006,5313,high,12000.0,flow,,
1007,5314,low,,,600.0,flow
1008,5314,okay,600.0,flow,6800.0,flow
1009,5314,high,6800.0,flow,,
1013,5317,low,,,3000.0,flow
1014,5317,okay,3000.0,flow,80000.0,flow
1015,5317,high,80000.0,flow,,
1022,5325,low,,,7000.0,flow
1023,5325,okay,7000.0,flow,80000.0,flow
1024,5325,high,80000.0,flow,,
1028,5327,low,,,8000.0,flow
1029,5327,okay,8000.0,flow,80000.0,flow
1030,5327,high,80000.0,flow,,
1031,5329,low,,,1000.0,flow
1032,5329,okay,1000.0,flow,6000.0,flow
1033,5329,high,6000.0,flow,,
