id,name,abbreviation
1,Utah,UT
2,Oregon,OR
3,Arizona,AZ
4,California,CA
5,Washington,WA
6,Colorado,CO
7,Kansas,KS
8,Montana,MT
9,Idaho,ID
10,Wyoming,WY
11,Nevada,NV
12,New Mexico,NM
