id,name,agency,fetch_url_id,calc_expression_id,timezone
1,BCLO3,NWS,22,,
2,ARWO3,NWS,7,,
3,14142800,USGS,,,
4,BRTO3,NWS,68,,
5,BLUO3,NWS,23,,
6,14316495,USGS,,,
7,13168500,USGS,,,
8,14140000,USGS,,,
9,14201500,USGS,,,
10,Calapooia_Holly_calc,Calculation,,1,
11,14400000,USGS,,,
12,TLYO3,NWS,54,,
13,ESTO3,NWS,25,,
14,POWO3,NWS,14,,
15,AZAO3,NWS,8,,
16,RDLO3,NWS,15,,
17,GLNO3,NWS,11,,
18,14087400,USGS,,,
19,14087380,USGS,,,
20,MODO3,NWS,2,,
21,14076500,USGS,,,
22,BENO,USBR,86,,America/Los_Angeles
23,DEBO,USBR,86,,America/Los_Angeles
24,WICO,USBR,86,,America/Los_Angeles
25,14092500,USGS,,,
26,10396000,USGS,,,
27,DRIFT_ALSEA_calc,Calculation,,2,
28,DRIFT_SILETZ_calc,Calculation,,3,
29,14338000,USGS,,,
30,ELKO3,NWS,10,,
31,14315950,USGS,,,
32,LGNO3,NWS,63,,
33,TRYO3,NWS,5,,
34,HODO3,NWS,29,,
35,KRBO3,NWS,13,,
37,IMNO3,NWS,1,,
38,14048000,USGS,,,
39,MONO3,NWS,3,,
40,14044000,USGS,,,
41,SERO3,NWS,4,,
42,13313000,USGS,,,
43,IRGC1,NOAA,121,,
44,11509500,USGS,,,
45,11510700,USGS,,,
46,11520500,USGS,,,
47,11530500,USGS,,,
48,11523000,USGS,,,
49,14113000,USGS,,,
50,14107000,USGS,,,
51,HSSW1,NWS,30,,
52,11507500,USGS,,,
53,14318000,USGS,,,
54,13337000,USGS,,,
55,MNRO3,NWS,38,,
56,14161500,USGS,,,
57,SUVO3,NWS,51,,
58,PHIO3,NWS,42,,
59,14162500,USGS,,,
60,VIDO3,NWS,58,,
61,14164900,USGS,,,
62,MCZO3,NWS,35,,
63,SFCO3,NWS,45,,
64,MKLO3,NWS,37,,
65,14091500,USGS,,,
66,OAKO3,NWS,40,,
67,JASO3,NWS,31,,
68,13331500,USGS,,,
69,SPRO3,NWS,49,,
70,CANO3,NWS,24,,
71,VENO3,NWS,57,,
72,14301000,USGS,,,
73,FSSO3,NWS,27,,
75,BEAO3,NWS,67,,
76,NF_ALSEA_calc,Calculation,,4,
77,13340600,USGS,,,
78,ROMO,USBR,86,,America/Boise
79,13235000,USGS,,,
80,13237920,USGS,,,
81,HRSI,USBR,86,,America/Boise
82,CSCI,USBR,86,,America/Boise
83,QCCO3,NWS,44,,
84,GRAO3,NWS,12,,
85,14337600,USGS,,,
86,AGNO3,NWS,6,,
87,RYGO3,NWS,16,,
88,14155500,USGS,,,
89,14154500,USGS,,,
90,SALMON_WILLAMETTE_calc,Calculation,,5,
91,13317000,USGS,,,
92,13310700,USGS,,,
93,13309220,USGS,,,
94,13316500,USGS,,,
95,13296500,USGS,,,
96,14141500,USGS,,,
97,SNDO3,NWS,48,,
98,SSCO3,NWS,50,,
99,14184100,USGS,,,
101,WTLO3,NWS,60,,
103,JFFO3,NWS,32,,
104,13336500,USGS,,,
105,SF_ALSEA_calc,Calculation,,6,
106,13338500,USGS,,,
107,MCMO3,NWS,34,,
108,14093000,USGS,,,
109,14092750,USGS,,,
110,14307620,USGS,,,
111,MPLO3,NWS,39,,
112,11532500,USGS,,,
113,SCRO3,NWS,17,,
114,Sunshine_calc,Calculation,,7,
115,14188800,USGS,,,
116,WSLO3,NWS,59,,
117,FRMO3,NWS,26,,
118,UMAO,USBR,86,,America/Los_Angeles
119,14316500,USGS,,,
120,EKTO3,NWS,9,,
121,WSNO3,NWS,19,,
122,14097100,USGS,,,
123,WFHO3,NWS,69,,
125,UNDW1,NWS,56,,
126,14187000,USGS,,,
128,EUGO3,NWS,116,,
129,GOSO3,NWS,64,,
131,ALBO3,NWS,20,,
132,LONO3,NWS,65,,
133,14197900,USGS,,,
135,SLMO3,NWS,47,,
136,14153500,USGS,,,
137,14166000,USGS,,,
138,HARO3,NWS,28,,
140,OCUO3,NWS,41,,
141,PRTO3,NWS,43,,
142,11493500,USGS,,,
143,14301500,USGS,,,
144,TLMO3,NWS,53,,
145,14150800,USGS,,,
147,BCKO3,NWS,21,,
148,LSMO3,NWS,33,,
149,MEHO3,NWS,36,,
150,SILO3,NWS,46,,
151,TIDO3,NWS,52,,
152,TILO3,NWS,18,,
153,HCDI,USBR,86,,America/Boise
154,13176400,USGS,,,
155,13246000,USGS,,,
156,13296000,USGS,,,
157,10317500,USGS,,,
158,13161500,USGS,,,
159,13162225,USGS,,,
160,14137000,USGS,,,
161,14158500,USGS,,,
162,14173500,USGS,,,
163,14185800,USGS,,,
164,14198500,USGS,,,
165,14209250,USGS,,,
166,14209700,USGS,,,
167,14312000,USGS,,,
168,14332000,USGS,,,
169,14337500,USGS,,,
170,14378200,USGS,,,
171,FAL,USACE,79,,
172,LOCO3,NWRFC,84,,
173,WNFO3,NWRFC,85,,
175,BRBO3,NWS,81,,
177,NMFO3,NWS,82,,
179,CMRO3,NWRFC,83,,
180,GPR,USACE,70,,
182,29C100_DSG_FM,WA DOE,72,,Etc/GMT+8
183,14178000,USGS,,,
184,14305500,USGS,,,
185,14306500,USGS,,,
186,14145500,USGS,,,
187,14319500,USGS,,,
188,14308910,USGS,,,
189,14020000,USGS,,,
190,14300350,USGS,,,
191,14188750,USGS,,,
192,Hood_EFMF_calc,Calculation,,9,
193,TRAO3,NWS,55,,
194,WLAO3,NWS,66,,
195,14302480,USGS,,,
196,14170000,USGS,,,
198,Fall_Creek_above_Winberry_calc,Calculation,,10,
199,14159500,USGS,,,
