id,name,agency,fetch_url_id,calc_expression_id,timezone
200,Applegate_Lake_inflow_to_flow,Calculation,,11,
201,13297380,USGS,,,
202,13307000,USGS,,,
203,13311000,USGS,,,
204,SRYI1,NWRFC,105,,
205,MIDI1,NWRFC,106,,
206,KRSI1,NWRFC,107,,
207,JOHI1,NWRFC,108,,
208,RIGI1,NWRFC,109,,
209,WHBI1,NWRFC,110,,
210,EFSF_Salmon_calc,Calculation,,12,
211,SELI1,NWRFC,111,,
212,LOCI1,NWRFC,112,,
213,STII1,NWRFC,113,,
214,PITW1,NWRFC,114,,
215,KLCW1,NWRFC,115,,
216,LWWW1,NWS,99,,
217,WCNW1,NWS,100,,
220,28B080_DSG_FM,WA DOE,103,,Etc/GMT+8
221,CORO3,NWS,104,,
222,14171600,USGS,,,
223,14174000,USGS,,,
224,14158850,USGS,,,
225,14152500,USGS,,,
226,14369500,USGS,,,
228,14162200,USGS,,,
229,14179000,USGS,,,
230,14209500,USGS,,,
231,14210000,USGS,,,
232,14325000,USGS,,,
233,14309000,USGS,,,
234,14310000,USGS,,,
235,14309500,USGS,,,
236,14103000,USGS,,,
239,14151000,USGS,,,
240,13333000,USGS,,,
241,14120000,USGS,,,
242,14377100,USGS,,,
243,14046000,USGS,,,
244,14046500,USGS,,,
245,11516530,USGS,,,
246,14222500,USGS,,,
247,14190500,USGS,,,
248,14171000,USGS,,,
249,14163900,USGS,,,
250,14159200,USGS,,,
251,14163150,USGS,,,
252,14148000,USGS,,,
253,14152000,USGS,,,
254,14165000,USGS,,,
255,14200000,USGS,,,
256,14299800,USGS,,,
257,14303600,USGS,,,
259,13181000,USGS,,,
260,13247500,USGS,,,
262,14185900,USGS,,,
263,14361500,USGS,,,
264,14328000,USGS,,,
265,14372300,USGS,,,
266,14359000,USGS,,,
267,14142500,USGS,,,
268,14185000,USGS,,,
269,14181500,USGS,,,
270,14187500,USGS,,,
271,14189000,USGS,,,
272,14183000,USGS,,,
273,14182500,USGS,,,
274,14194150,USGS,,,
276,14316700,USGS,,,
277,14207500,USGS,,,
279,14033500,USGS,,,
280,14308000,USGS,,,
281,14316800,USGS,,,
282,14321000,USGS,,,
284,14101500,USGS,,,
285,14123500,USGS,,,
286,14158050,USGS,,,
287,14157500,USGS,,,
288,14191000,USGS,,,
289,14207740,USGS,,,
290,14211720,USGS,,,
292,14300000,USGS,,,
293,14128500,USGS,,,
294,29C100_STG_FM,WA DOE,71,,Etc/GMT+8
295,29C100_WTM_FM,WA DOE,73,,Etc/GMT+8
296,28B080_STG_FM,WA DOE,102,,Etc/GMT+8
297,28B080_WTM_FM,WA DOE,101,,Etc/GMT+8
298,WASW1,NWS,61,,
299,APLO3,NWRFC,80,,
300,FALO3,NWRFC,87,,
301,14307605,USGS,,,
302,Siuslaw_above_LakeCreek_calc,Calculation,,13,
303,NEBO3,NWS,117,,
304,ORCO3,NWS,118,,
306,COCO3,NWS,120,,
307,14207770,USGS,,,
308,14208000,USGS,,,
309,14211010,USGS,,,
310,RCBO3,NWS,122,,
311,14330000,USGS,,,
312,PR2R.NFD_BYP_80FL_PI,PacifiCorp,123,,America/Los_Angeles
313,Rogue_Above_Prospect_calc,Calculation,,14,
314,06090500,USGS,,,
315,06025500,USGS,,,
316,06025250,USGS,,,
317,12340000,USGS,,,
318,12354500,USGS,,,
319,06073500,USGS,,,
320,12359800,USGS,,,
321,06036650,USGS,,,
322,06038800,USGS,,,
323,06066500,USGS,,,
324,06077200,USGS,,,
325,06077500,USGS,,,
326,06085800,USGS,,,
327,McKenzie_McKenzie_Bridge_calc,Calculation,,15,
328,Horse_Creek_calc,Calculation,,16,
329,GPRO3,NWRFC,124,,
330,14147500,USGS,,,
331,14161100,USGS,,,
333,454249120423500,USGS,,,
334,14105700,USGS,,,
335,14128870,USGS,,,
336,453845121564001,USGS,,,
337,14216000,USGS,,,
338,14219000,USGS,,,
339,CRPO3,NWS,125,,
340,PRVO3,NWS,126,,
341,CRSO3,NWRFC,127,,
342,OCHO3,NWS,128,,
343,JDA,USACE,129,,
344,BON,USACE,130,,
345,VAPW1,NWS,131,,
346,SHNO3,NWS,132,,
